Tree node ID	Genus	Uncharacterised	MiDAS_GCF_1	MiDAS_GCF_2	MiDAS_GCF_3	MiDAS_GCF_4	MiDAS_GCF_5	MiDAS_GCF_6	MiDAS_GCF_7	MiDAS_GCF_8	MiDAS_GCF_9	MiDAS_GCF_10	MiDAS_GCF_11	MiDAS_GCF_12	MiDAS_GCF_13	MiDAS_GCF_14	MiDAS_GCF_15
014-ES-23.bin.1.37'	Proximibacter	46.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
014-ES-23.bin.c.10'	Pseudobdellovibrio	40.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
058-AR-20.bin.1.142'	Pseudogemmobacter	36.36	0	0	0	0	0	0	0	0	0	72.73	0	0	0	0	0
099-UY-16.bin.1.290'	Pseudomonas_E	53.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
045-US1-87.bin.1.37'	QY30	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071-HK-01.bin.1.379'	Quisquiliibacterium	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
008-AR-23.bin.1.642'	RAM1	47.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
063-AU-32.bin.c.21'	RPQJ01	94.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032-ES-07.bin.1.207'	RXIV01	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
090-US1-124.bin.1.494'	Reyranella	92.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
014-ES-23.bin.1.319'	Rhodoferax	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
098-UY-13.bin.1.328'	Rhodoferax_C	30.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
028-AU-34.bin.1.61'	Rhodoplanes	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
048-UY-15.bin.2.114'	Romboutsia	95.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
011-CY-01.bin.1.362'	Rubrivivax	94.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
090-US1-124.bin.c.8'	Rugosibacter	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
016-PL-06.bin.1.76'	Ruminococcoides	94.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
050-BE-09.bin.1.437'	SCN-70-22	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
004-NL-18.bin.1.123'	SCUS01	87.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
020-NO1-03.bin.1.469'	SSF14	100	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0
021-CZ-11.bin.1.6'	SSSZ01	16.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
