genome_id,gtdb_classification,Database
002-MX-07.bin.1.115,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__JABFRZ01;s__,MiDAS Global
002-MX-07.bin.1.118,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Limisphaerales;f__UBA11358;g__;s__,MiDAS Global
002-MX-07.bin.1.119,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__FEN-1173;f__FEN-1173;g__JADKIY01;s__JADKIY01 sp016722575,MiDAS Global
002-MX-07.bin.1.124,d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__BD1-5;f__UBA2023;g__;s__,MiDAS Global
002-MX-07.bin.1.13,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__CAIWHR01;s__,MiDAS Global
002-MX-07.bin.1.130,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__,MiDAS Global
002-MX-07.bin.1.138,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Q3-R57-64;g__Q3-R57-64;s__Q3-R57-64 sp016699915,MiDAS Global
002-MX-07.bin.1.146,d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24;f__2-12-FULL-60-25;g__JAGOUY01;s__,MiDAS Global
002-MX-07.bin.1.147,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__SXWH01;s__,MiDAS Global
002-MX-07.bin.1.156,d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24;f__2-12-FULL-60-25;g__;s__,MiDAS Global
002-MX-07.bin.1.166,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__CAMDFR01;g__CAMDFR01;s__,MiDAS Global
002-MX-07.bin.1.172,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA2100;g__JAGOVW01;s__,MiDAS Global
002-MX-07.bin.1.175,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA5272;g__JALHNF01;s__,MiDAS Global
002-MX-07.bin.1.179,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__JAEUTH01;s__,MiDAS Global
002-MX-07.bin.1.187,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__JADJPL01;s__,MiDAS Global
002-MX-07.bin.1.188,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Phototrophicaceae;g__Flexifilum;s__,MiDAS Global
002-MX-07.bin.1.189,d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__UBA917;g__UBA919;s__,MiDAS Global
002-MX-07.bin.1.193,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Limisphaerales;f__JADJPG01;g__JADJPG01;s__,MiDAS Global
002-MX-07.bin.1.195,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__,MiDAS Global
002-MX-07.bin.1.197,d__Bacteria;p__Patescibacteria;c__ABY1;o__VMEV01;f__VMEV01;g__;s__,MiDAS Global
002-MX-07.bin.1.199,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter;s__,MiDAS Global
002-MX-07.bin.1.203,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__UBA4408;f__UBA4408;g__UBA4408;s__,MiDAS Global
002-MX-07.bin.1.204,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__,MiDAS Global
002-MX-07.bin.1.205,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__UBA10329;f__UBA10329;g__;s__,MiDAS Global
002-MX-07.bin.1.210,d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__OLB5;g__OLB5;s__,MiDAS Global
002-MX-07.bin.1.211,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__JAGQSN01;s__,MiDAS Global
002-MX-07.bin.1.212,d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__FEB-12;g__;s__,MiDAS Global
002-MX-07.bin.1.215,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA9973;g__;s__,MiDAS Global
002-MX-07.bin.1.222,d__Bacteria;p__CLD3;c__CLD3;o__SB21;f__SB21;g__SB21;s__,MiDAS Global
002-MX-07.bin.1.223,d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Levybacterales;f__GWA1-39-11;g__JAUSNA01;s__,MiDAS Global
002-MX-07.bin.1.229,d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Palsa-1104;g__;s__,MiDAS Global
002-MX-07.bin.1.23,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__JAAZBK01;s__JAAZBK01 sp020439505,MiDAS Global
